base,before_start_x,before_start_y,before_end_x,before_end_y,after_start_x,after_start_y,after_end_x,after_end_y
b,160,0,160,30,35,45,0,45
c,160,0,160,30,35,45,0,45
d,160,0,160,30,35,45,0,45
f,160,0,160,30,35,45,0,45
g,160,0,160,30,35,45,0,45
j,160,0,160,30,35,45,0,45
k,160,0,160,30,35,45,0,45
l,160,0,160,30,35,45,0,45
m,160,0,160,30,35,45,0,45
n,160,0,160,30,35,45,0,45
p,160,0,160,30,35,45,0,45
q,160,0,160,30,35,45,0,45
r,160,0,160,30,35,45,0,45
s,160,0,160,10,15,45,0,45
t,160,0,160,30,35,45,0,45
v,160,0,160,30,35,45,0,45
w,160,0,160,30,35,45,0,45
x,160,0,160,30,35,45,0,45
y,160,0,160,30,35,45,0,45
z,160,0,160,10,15,45,0,45
blank,160,0,160,30,35,45,0,45
