base,before_start_x,before_start_y,before_end_x,before_end_y,after_start_x,after_start_y,after_end_x,after_end_y
b,45,0,45,45,155,45,200,45
c,45,0,45,45,155,45,200,45
d,45,0,45,45,155,45,200,45
f,45,0,45,45,155,45,200,45
g,45,0,45,45,155,45,200,45
j,45,0,45,45,155,45,200,45
k,45,0,45,45,155,45,200,45
l,45,0,45,45,155,45,200,45
m,45,0,45,45,155,45,200,45
n,45,0,45,45,155,45,200,45
p,45,0,45,45,155,45,200,45
q,45,0,45,45,155,45,200,45
r,45,0,45,45,155,45,200,45
s,45,0,45,45,155,45,200,45
t,45,0,45,45,155,45,200,45
v,45,0,45,45,155,45,200,45
w,45,0,45,45,155,45,200,45
x,45,0,45,45,155,45,200,45
y,45,0,45,45,155,45,200,45
z,45,0,45,45,155,45,200,45
blank,45,0,45,45,155,45,200,45
