base,before_start_x,before_start_y,before_end_x,before_end_y,after_start_x,after_start_y,after_end_x,after_end_y
b,205,45,165,45,45,160,45,200
c,205,45,165,45,45,160,45,200
d,205,45,165,45,45,160,45,200
f,205,45,165,45,45,160,45,200
g,205,45,165,45,45,160,45,200
j,205,45,165,45,45,160,45,200
k,205,45,165,45,45,160,45,200
l,205,45,165,45,45,160,45,200
m,205,45,165,45,45,160,45,200
n,205,45,165,45,45,160,45,200
p,205,45,165,45,45,160,45,200
q,205,45,165,45,45,160,45,200
r,205,45,165,45,45,160,45,200
s,205,45,165,45,45,170,45,200
t,205,45,165,45,45,160,45,200
v,205,45,165,45,45,160,45,200
w,205,45,165,45,45,160,45,200
x,205,45,165,45,45,160,45,200
y,205,45,165,45,45,160,45,200
z,205,45,165,45,45,170,45,200
blank,205,45,165,45,45,160,45,200
